P1 P2 P3 P4 P5 P6 P7 P8 P9 C1
False False False False False True True True False True
False False False True False False True True False False
False False False True True True True True False True
True True False True True True True True False True
False True False False True True True True False True
False False False False False False True True True True
True False False False False False True True False True
False False False True False False False True False False
False False False True True True True False True True
True False False True False True True True False True
False False False True False False True True True True
True False False False False True True True False True
True False False True False True True False True True
True False False True True False True True False True
True False False True False False False False False False
False True False True False False True True False False
False False False False False True True True False False
False False False True False True True True False True
False False False True True True True False False True
False False False True False False True True False False
False True False False False True True True True True
False False False True False True False False True False
False True False False False False False True False False
True False False False False True True True False True
False False False True False True False False False True
False False False False False False False True False True
False False False True False True False True False True
False True False True False True True False False True
True False False True False True False False True True
False False False True False False True True True True
True False False True False True True True True True
False False False False False True True True False True
True True False True True True True False False True
False False False True False True True False True True
True True False False False True True True False True
False False False False False False True True True True
True True False True False True True False False False
False False False True False True True True False True
True True False False False True True True False True
False False False False True True True False False True
True False False True False False True True True True
True False False True False False True True True False
False False False True False False True False True False
False False False True False False True True False True
False False False False False True True False True True
False False False False True False False False False True
True False False False False False True True False True
False False False False False True True True True True
False False False True False True True True False True
True True False False True True True True True True
False True False True True True True False True True
True True False False False False False True False True
False False False True False True True True False False
False False False True False False True True False True
True False False True False False False True False True
False False False False False True True False False False
False True False True False False True True False True
True False False True False False True True False True
False False False True True True True True False True
False True False True False True True True False True
False True True False False True True True True True
False False False False False False True True True True
False False False False False True True True True True
True False False False True False True True True True
False False False False False True True False True False
False True False True False False True False True True
False True False True False False True True True True
False False False True True True True False False True
False False False True False True True False False True
True False False False True True True True False True
False False False True False False True True False True
False False True True False True True False True True
True False False True False False True True False True
False False False False True False True False False True
False False False True False True False False True True
False False False False False True True False True True
False False False True False False True False False True
False True False False True True True True True True
False False False True False True True False True True
True False False True False False True False True False
False True False True False False True True False True
False True False False True True True True False True
False False False True False True True True False False
True False False False True False True False True True
False True False True False False False True False False
True False False True True True True True False True
True True False True False False True True False True
False False False False False False True True False True
True False False False True True False True False True
False False False True False False True False False False
False False False True False False True True True True
True True False True True False True False True True
True False False True False True True True True True
True False False True False False True False False False
False False False True False False False False True False
True True False True False True True False True True
False True False True False False False True True True
False False False False False False False True False True
True False False False False True True True True True
False False False True False True False True True True
True False False True False True True True False True
False True False True True False True True False True
True False False True False True True True True True
False False False False False False True True False True
True True False False True True True True False True
False False False True True True False True False True
True True False True False True True False False False
False False False False False True True True False True
False False False True False False True False True True
False False False True False True False True False True
False False False True True False True False False True
False True False True True True True False False False
False False False True False True False True True True
False False False True True True True True True True
False True False True False True True False False True
False True False False True True False False False True
False False False True False False True True True True
False False False False False False False True True True
True False False True False False True True False False
False False False False False True False False False False
True False False True False True True True False True
False True False True False False True False False False
False False False False True False True True True True
False False False True False False False True False False
False False False True True False True False False False
False False False True False True True False True True
False False False True False False True False False False
True False False True False False True True True True
False True False True True False True True False True
False False True False False True True True False True
True True False True False False True True False True
False False False True False False True True False True
False False False False True False True True True True
True False False False False True True False True True
False True False True True True False True True True
False False False True False True True False False True
True True False True True False True True False True
True False False True False True True True True True
False False False False False True True False False False
True False False True False True True True False True
False False False True False True True True True True
True False False True False True True True True True
False True False False False False True False False False
True False False False False False True True False True
True False False True False False False False True True
True False False True False False True True False True
False False False True False False True True True False
True False False False True True True True True True
True False False True False True True True False True
True True False True False False True True True True
True False False True False False True True False True
False True False True False False False True False False
True False False False False True True True False True
True False False True False True True False False True
True False False True False False True True False True
False False False True True True True True False True
False False False True False True True False True True
False False False True False False True True False True
True False False True False True False True True True
False False False False False True True True False False
False True False False False True True True False True
False False False False True True True False False False
False False False True False False True True False True
False False False True False True True True True True
True False False True False True True False False True
True False False True True False True True True True
False False False False False False True True False True
True False False True False False True True True True
True False False False True True True False False True
False False False False False True True True False True
False False False False False True True True True True
False False False True True False False True False True
False False False True True True True True True True
True False False True False False False False True True
False False False True False True True True False True
False False False False False True True True False False
True False False True False False True False False True
False True False True False False False True False True
True False False False False True True False False False
True False False True False False True False False True
True True False True False True True True False True
False False False True False True True True False True
False False False True True True True True False True
True False False True False True True False False True
True False False False True False True True True True
False True False False True False True True False True
False True False True True False True True False True
False False False False True False True True False True
False False False False True True True True False True
False False False True False False True True False True
False True False True False True True True False False
False False False True False True True True False True
False True False False True True True True False True
False True False True True True True False True True
False False False True True False True False True True
False False False False False True False True False True
True False False True True True True True False True
False False False True True True True True True True
True False False True True False True False True True
False True False False True True True True False True
True False False True False True True False False True
False False False False False True True True False True
False True False True False True True False False True
False False False False False False True True False False
False False False False False True True True False False
True False False False False True False True False True
True True False True True False True False True True
False False False True False True True False False True
True False False True True True True False False True
False True False True True False True False False True
True False False True True True True True False True
False False False True False False False False True True
False True False True False False False True False True
True False False True True False True True True True
False False False True False True True False True True
False False False True False True True False True True
True False False True False True True True False True
True False False False False True True False True True
True True False False False True True False False True
False False False True False True True False False True
False False False False True False True True False True
False True False True False True True True False False
True False False True False True True True False True
False False False False False False True False False False
False False False True False True True True False True
True True False True False True True True True True
False False False True False False True True False False
False False False False False True False False False False
False False False True True True True True True True
False False False True False True True False False False
False False False True False True False True False True
False False False True False True True False False True
False False False True False True False True True True
False True False False False True True True False True
False False False True False False True True False True
False False False False False True False False True False
False True False True False True True True False True
True True False False True True True True True True
False True False True False False True True False True
True True False False True False True False True True
True False False False False True True True False True
False False False True False False False True True False
False False False False True True False True True True
False True False False False True True False True True
False False False False True False True False False True
False False False False False True True True False True
